Datum,1 SEK = ? USD,1 USD = ? SEK,1 SEK = ? EUR,1 EUR = ? SEK
2014-01-02,0.1544,6.4767,0.1125,8.8855
2014-01-03,0.1535,6.514,0.1126,8.8825
2014-01-07,0.1536,6.5112,0.1128,8.8684
2014-01-08,0.153,6.5352,0.1125,8.8922
2014-01-09,0.1522,6.5709,0.1119,8.9376
2014-01-10,0.1529,6.5405,0.1123,8.9015
2014-01-13,0.1541,6.4882,0.1128,8.8688
2014-01-14,0.1545,6.4742,0.1128,8.8643
2014-01-15,0.1549,6.4575,0.1137,8.7978
2014-01-16,0.1546,6.4673,0.1136,8.8008
2014-01-17,0.1544,6.4767,0.1135,8.8097
2014-01-20,0.1544,6.4756,0.114,8.7757
2014-01-21,0.1539,6.4993,0.1137,8.7955
2014-01-22,0.154,6.4949,0.1137,8.7957
2014-01-23,0.1552,6.4419,0.114,8.7704
2014-01-24,0.1553,6.4408,0.1135,8.813
2014-01-27,0.1553,6.4394,0.1134,8.8164
2014-01-28,0.1556,6.4252,0.1139,8.7766
2014-01-29,0.1558,6.4205,0.1139,8.7791
2014-01-30,0.1542,6.4838,0.1132,8.8307
2014-01-31,0.1532,6.5262,0.113,8.8466
2014-02-03,0.153,6.5366,0.1135,8.8143
2014-02-04,0.1527,6.5472,0.1131,8.8389
2014-02-05,0.153,6.5366,0.1132,8.8359
2014-02-06,0.153,6.5355,0.1131,8.8422
2014-02-07,0.1537,6.5045,0.1133,8.829
2014-02-10,0.1543,6.4827,0.1131,8.8451
2014-02-11,0.155,6.4536,0.1133,8.8282
2014-02-12,0.1553,6.4402,0.1139,8.7799
2014-02-13,0.1553,6.4382,0.114,8.7741
2014-02-14,0.155,6.4511,0.1132,8.8361
2014-02-17,0.1552,6.4428,0.1133,8.828
2014-02-18,0.1547,6.4659,0.1128,8.8648
2014-02-19,0.1541,6.4881,0.112,8.9255
2014-02-20,0.1531,6.5314,0.1118,8.9485
2014-02-21,0.1523,6.5652,0.1111,8.9981
2014-02-24,0.1534,6.5169,0.1116,8.9601
2014-02-25,0.1539,6.4981,0.1119,8.9386
2014-02-26,0.1537,6.5061,0.1119,8.9365
2014-02-27,0.1533,6.5218,0.1123,8.9078
2014-02-28,0.1541,6.4908,0.1123,8.901
2014-03-03,0.1555,6.4314,0.1129,8.8562
2014-03-04,0.155,6.4506,0.1126,8.8774
2014-03-05,0.1549,6.4568,0.1128,8.8677
2014-03-06,0.1555,6.4292,0.1133,8.8252
2014-03-07,0.1564,6.3923,0.1128,8.8662
2014-03-10,0.1566,6.3854,0.1128,8.8659
2014-03-11,0.1567,6.3827,0.113,8.8476
2014-03-12,0.1565,6.3884,0.113,8.8474
2014-03-13,0.1577,6.3422,0.1131,8.844
2014-03-14,0.1567,6.3822,0.1129,8.8551
2014-03-17,0.1563,6.3973,0.1125,8.885
2014-03-18,0.157,6.3698,0.1129,8.8606
2014-03-19,0.1577,6.3392,0.1133,8.8232
2014-03-20,0.1562,6.4026,0.113,8.8514
2014-03-21,0.1559,6.4157,0.1131,8.8431
2014-03-24,0.1557,6.4212,0.1128,8.8628
2014-03-25,0.1561,6.4042,0.1129,8.8604
2014-03-26,0.1556,6.4285,0.1126,8.8799
2014-03-27,0.1543,6.4798,0.1122,8.9147
2014-03-28,0.1541,6.4874,0.1124,8.897
2014-03-31,0.1537,6.5068,0.1118,8.9482
2014-04-01,0.155,6.4508,0.1124,8.8933
2014-04-02,0.155,6.4521,0.1123,8.9057
2014-04-03,0.154,6.492,0.1119,8.9366
2014-04-04,0.1529,6.5407,0.1116,8.9606
2014-04-07,0.1528,6.5464,0.1114,8.9788
2014-04-08,0.1534,6.5189,0.1115,8.9675
2014-04-09,0.154,6.4936,0.1116,8.9573
2014-04-10,0.1534,6.5208,0.1107,9.0358
2014-04-11,0.1532,6.5284,0.1102,9.0715
2014-04-14,0.1527,6.5472,0.1102,9.0715
2014-04-15,0.1521,6.5739,0.1102,9.0726
2014-04-16,0.1524,6.5619,0.1102,9.0726
2014-04-17,0.152,6.5781,0.1098,9.1036
2014-04-22,0.1514,6.6051,0.1097,9.1137
2014-04-23,0.1518,6.5871,0.1099,9.0972
2014-04-24,0.1525,6.5554,0.1103,9.0646
2014-04-25,0.152,6.5798,0.1099,9.1017
2014-04-28,0.1524,6.5605,0.1099,9.1008
2014-04-29,0.153,6.5353,0.1103,9.0654
2014-04-30,0.1522,6.569,0.1103,9.0674
2014-05-02,0.1532,6.5295,0.1106,9.0447
2014-05-05,0.1532,6.5265,0.1105,9.0533
2014-05-06,0.1533,6.5215,0.1102,9.0705
2014-05-07,0.1538,6.5034,0.1104,9.0564
2014-05-08,0.1541,6.4895,0.1107,9.0365
2014-05-09,0.1534,6.5168,0.1109,9.0132
2014-05-12,0.1526,6.5548,0.1108,9.0247
2014-05-13,0.1526,6.5527,0.1108,9.0219
2014-05-14,0.1527,6.5496,0.1113,8.9866
2014-05-15,0.1523,6.565,0.1113,8.9879
2014-05-16,0.1522,6.5721,0.1109,9.0162
2014-05-19,0.1522,6.5702,0.1109,9.0133
2014-05-20,0.1513,6.6093,0.1105,9.0514
2014-05-21,0.1518,6.5894,0.1106,9.0381
2014-05-22,0.1521,6.5738,0.1113,8.9843
2014-05-23,0.1509,6.6274,0.1106,9.0448
2014-05-26,0.1508,6.6313,0.1106,9.0405
2014-05-27,0.151,6.6246,0.1106,9.042
2014-05-28,0.1508,6.6311,0.1107,9.0339
2014-05-30,0.1502,6.6563,0.1104,9.0616
2014-06-02,0.1495,6.6883,0.1098,9.1038
2014-06-03,0.1495,6.6888,0.1099,9.0988
2014-06-04,0.1499,6.6724,0.1101,9.0837
2014-06-05,0.1504,6.6495,0.1106,9.0454
2014-06-09,0.1506,6.6388,0.1103,9.0649
2014-06-10,0.1498,6.6765,0.1102,9.0777
2014-06-11,0.1494,6.6921,0.1104,9.0606
2014-06-12,0.1495,6.6903,0.1104,9.0553
2014-06-13,0.15,6.6658,0.1106,9.0438
2014-06-16,0.15,6.667,0.111,9.0125
2014-06-17,0.1506,6.6396,0.1111,9.0034
2014-06-18,0.1506,6.6388,0.1112,8.995
